block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
1,0,18.0,18.0,510.3,147.2,492.3,129.2,0.8038
2,0,18.0,147.2,510.3,312.0,492.3,164.8,0.8038
3,0,18.0,312.0,510.3,489.2,492.3,177.3,0.8038
4,0,18.0,489.2,510.3,613.0,492.3,123.8,0.8038
5,0,18.0,613.0,510.3,774.0,492.3,161.0,0.8038
6,1,18.0,18.0,494.5,193.9,476.5,175.9,0.7780
7,1,18.0,193.9,494.5,526.5,476.5,332.6,0.7780
8,1,18.0,526.5,494.5,774.0,476.5,247.5,0.7780
9,2,18.0,18.0,495.7,327.7,477.7,309.7,0.7799
10,2,18.0,327.7,495.7,603.6,477.7,276.0,0.7799
11,2,18.0,603.6,495.7,774.0,477.7,170.4,0.7799
12,3,18.0,18.0,541.3,272.1,523.3,254.1,0.8544
13,3,18.0,272.1,541.3,547.6,523.3,275.6,0.8544
14,3,18.0,547.6,541.3,774.0,523.3,226.4,0.8544
15,4,18.0,18.0,561.0,324.6,543.0,306.6,0.8865
16,4,18.0,324.6,561.0,567.0,543.0,242.4,0.8865
17,4,18.0,567.0,561.0,774.0,543.0,207.0,0.8865
18,5,18.0,18.0,594.0,359.0,576.0,341.0,0.9404
19,5,18.0,359.0,594.0,746.7,576.0,387.7,0.9404
20,6,18.0,18.0,594.0,406.0,576.0,388.0,0.9404
21,7,18.0,18.0,525.4,626.7,507.4,608.7,0.8284
22,7,18.0,626.7,525.4,774.0,507.4,147.3,0.8284
23,8,18.0,18.0,594.0,177.6,576.0,159.6,0.9404
24,8,18.0,177.6,594.0,369.5,576.0,191.8,0.9404
25,8,18.0,369.5,594.0,676.2,576.0,306.7,0.9404
26,9,18.0,18.0,594.0,709.0,576.0,691.0,0.9404
27,10,18.0,18.0,593.3,382.8,575.3,364.8,0.9392
28,10,18.0,382.8,593.3,501.2,575.3,118.4,0.9392
29,10,18.0,501.2,593.3,774.0,575.3,272.8,0.9392
30,11,18.0,18.0,511.2,151.7,493.2,133.7,0.8053
31,11,18.0,151.7,511.2,615.7,493.2,464.1,0.8053
32,11,18.0,615.7,511.2,774.0,493.2,158.3,0.8053
