block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
41,0,18.0,18.0,576.8,477.8,558.8,459.8,0.9124
1,0,18.0,477.8,576.8,629.3,558.8,151.5,0.9124
2,0,18.0,629.3,576.8,757.0,558.8,127.7,0.9124
3,1,18.0,18.0,444.6,133.6,426.6,115.6,0.6965
4,1,18.0,133.6,444.6,294.8,426.6,161.2,0.6965
5,1,18.0,294.8,444.6,494.7,426.6,199.9,0.6965
6,1,18.0,494.7,444.6,774.0,426.6,279.3,0.6965
7,2,18.0,18.0,576.8,256.0,558.8,238.0,0.9124
8,2,18.0,256.0,576.8,577.4,558.8,321.5,0.9124
9,2,18.0,577.4,576.8,767.4,558.8,189.9,0.9124
10,3,18.0,18.0,576.8,166.3,558.8,148.3,0.9124
11,3,18.0,166.3,576.8,375.2,558.8,209.0,0.9124
12,3,18.0,375.2,576.8,712.4,558.8,337.1,0.9124
13,4,18.0,18.0,576.8,378.1,558.8,360.1,0.9124
14,4,18.0,378.1,576.8,719.2,558.8,341.1,0.9124
15,5,18.0,18.0,572.0,348.1,554.0,330.1,0.9045
16,5,18.0,348.1,572.0,774.0,554.0,425.9,0.9045
17,6,18.0,18.0,453.3,198.7,435.3,180.7,0.7107
18,6,18.0,198.7,453.3,457.4,435.3,258.8,0.7107
19,6,18.0,457.4,453.3,774.0,435.3,316.6,0.7107
20,7,18.0,18.0,554.7,452.9,536.7,434.9,0.8763
21,7,18.0,452.9,554.7,774.0,536.7,321.1,0.8763
22,8,18.0,18.0,465.1,387.9,447.1,369.9,0.7300
23,8,18.0,387.9,465.1,519.3,447.1,131.4,0.7300
24,8,18.0,519.3,465.1,774.0,447.1,254.7,0.7300
25,9,18.0,18.0,463.8,174.5,445.8,156.5,0.7279
26,9,18.0,174.5,463.8,499.7,445.8,325.2,0.7279
27,9,18.0,499.7,463.8,774.0,445.8,274.3,0.7279
28,10,18.0,18.0,510.4,223.5,492.4,205.5,0.8040
29,10,18.0,223.5,510.4,418.5,492.4,195.0,0.8040
30,10,18.0,418.5,510.4,563.3,492.4,144.7,0.8040
31,10,18.0,563.3,510.4,774.0,492.4,210.7,0.8040
32,11,18.0,18.0,576.8,182.4,558.8,164.4,0.9124
33,11,18.0,182.4,576.8,310.1,558.8,127.7,0.9124
34,11,18.0,310.1,576.8,701.2,558.8,391.1,0.9124
