block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
1,0,18.0,18.0,485.8,140.7,467.8,122.7,0.7638
2,0,18.0,140.7,485.8,297.3,467.8,156.6,0.7638
3,0,18.0,297.3,485.8,465.8,467.8,168.4,0.7638
4,0,18.0,465.8,485.8,583.4,467.8,117.6,0.7638
5,0,18.0,583.4,485.8,736.4,467.8,153.0,0.7638
6,1,18.0,18.0,485.8,190.7,467.8,172.7,0.7638
7,1,18.0,190.7,485.8,517.3,467.8,326.6,0.7638
8,1,18.0,517.3,485.8,760.2,467.8,243.0,0.7638
9,2,18.0,18.0,485.8,321.3,467.8,303.3,0.7638
10,2,18.0,321.3,485.8,591.6,467.8,270.3,0.7638
11,2,18.0,591.6,485.8,758.4,467.8,166.8,0.7638
12,3,18.0,18.0,394.3,200.7,376.3,182.7,0.6143
13,3,18.0,200.7,394.3,398.8,376.3,198.1,0.6143
14,3,18.0,398.8,394.3,561.6,376.3,162.8,0.6143
15,3,18.0,561.6,394.3,774.0,376.3,212.4,0.6143
16,4,18.0,18.0,379.2,179.3,361.2,161.3,0.5898
17,4,18.0,179.3,379.2,317.0,361.2,137.7,0.5898
18,4,18.0,317.0,379.2,530.9,361.2,213.9,0.5898
19,4,18.0,530.9,379.2,774.0,361.2,243.1,0.5898
20,5,18.0,18.0,421.6,289.9,403.6,271.9,0.6589
21,5,18.0,289.9,421.6,774.0,403.6,484.1,0.6589
22,6,18.0,18.0,485.8,153.8,467.8,135.8,0.7638
23,6,18.0,153.8,485.8,283.5,467.8,129.7,0.7638
24,6,18.0,283.5,485.8,439.3,467.8,155.8,0.7638
25,6,18.0,439.3,485.8,688.4,467.8,249.1,0.7638
26,7,18.0,18.0,430.2,512.6,412.2,494.6,0.6731
27,7,18.0,512.6,430.2,774.0,412.2,261.4,0.6731
28,8,18.0,18.0,417.6,100.2,399.6,82.2,0.6524
29,8,18.0,100.2,417.6,289.7,399.6,189.5,0.6524
30,8,18.0,289.7,417.6,398.0,399.6,108.3,0.6524
31,8,18.0,398.0,417.6,774.0,399.6,376.0,0.6524
32,9,18.0,18.0,485.8,168.1,467.8,150.1,0.7638
