block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
1,0,18.0,18.0,547.5,149.4,529.5,131.4,0.8645
2,0,18.0,149.4,547.5,511.3,529.5,361.9,0.8645
3,0,18.0,511.3,547.5,774.0,529.5,262.7,0.8645
4,1,18.0,18.0,561.6,433.7,543.6,415.7,0.8876
5,1,18.0,433.7,561.6,774.0,543.6,340.3,0.8876
6,2,18.0,18.0,548.4,259.1,530.4,241.1,0.8661
7,2,18.0,259.1,548.4,578.3,530.4,319.2,0.8661
8,2,18.0,578.3,548.4,774.0,530.4,195.7,0.8661
9,3,18.0,18.0,537.7,467.2,519.7,449.2,0.8485
10,3,18.0,467.2,537.7,608.0,519.7,140.9,0.8485
11,3,18.0,608.0,537.7,774.0,519.7,166.0,0.8485
12,4,18.0,18.0,594.0,213.6,576.0,195.6,0.9404
13,4,18.0,213.6,594.0,406.6,576.0,193.0,0.9404
14,4,18.0,406.6,594.0,671.8,576.0,265.2,0.9404
15,5,18.0,18.0,594.0,398.7,576.0,380.7,0.9404
16,5,18.0,398.7,594.0,714.7,576.0,316.0,0.9404
17,6,18.0,18.0,594.0,436.3,576.0,418.3,0.9404
18,6,18.0,436.3,594.0,733.8,576.0,297.6,0.9404
19,7,18.0,18.0,594.0,336.1,576.0,318.1,0.9404
20,7,18.0,336.1,594.0,507.3,576.0,171.1,0.9404
21,7,18.0,507.3,594.0,663.4,576.0,156.1,0.9404
22,8,18.0,18.0,477.8,390.2,459.8,372.2,0.7507
23,8,18.0,390.2,477.8,533.6,459.8,143.4,0.7507
24,8,18.0,533.6,477.8,774.0,459.8,240.4,0.7507
25,9,18.0,18.0,530.1,146.8,512.1,128.8,0.8361
26,9,18.0,146.8,530.1,482.6,512.1,335.8,0.8361
27,9,18.0,482.6,530.1,774.0,512.1,291.4,0.8361
28,10,18.0,18.0,498.8,263.9,480.8,245.9,0.7850
29,10,18.0,263.9,498.8,414.6,480.8,150.7,0.7850
30,10,18.0,414.6,498.8,774.0,480.8,359.4,0.7850
31,11,18.0,18.0,533.1,307.3,515.1,289.3,0.8410
32,11,18.0,307.3,533.1,774.0,515.1,466.7,0.8410
33,12,18.0,18.0,594.0,318.6,576.0,300.6,0.9404
34,12,18.0,318.6,594.0,744.7,576.0,426.1,0.9404
35,13,18.0,18.0,594.0,256.6,576.0,238.6,0.9404
36,13,18.0,256.6,594.0,713.3,576.0,456.7,0.9404
