block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
1,0,18.0,18.0,556.9,143.9,538.9,125.9,0.8799
2,0,18.0,143.9,556.9,512.6,538.9,368.7,0.8799
3,0,18.0,512.6,556.9,774.0,538.9,261.4,0.8799
4,1,18.0,18.0,565.5,437.2,547.5,419.2,0.8939
5,1,18.0,437.2,565.5,774.0,547.5,336.8,0.8939
6,2,18.0,18.0,575.0,241.5,557.0,223.5,0.9094
7,2,18.0,241.5,575.0,570.2,557.0,328.7,0.9094
8,2,18.0,570.2,575.0,774.0,557.0,203.8,0.9094
9,3,18.0,18.0,541.1,470.6,523.1,452.6,0.8541
10,3,18.0,470.6,541.1,606.3,523.1,135.7,0.8541
11,3,18.0,606.3,541.1,774.0,523.1,167.7,0.8541
12,4,18.0,18.0,594.0,214.4,576.0,196.4,0.9404
13,4,18.0,214.4,594.0,399.0,576.0,184.6,0.9404
14,4,18.0,399.0,594.0,661.7,576.0,262.7,0.9404
15,5,18.0,18.0,594.0,390.4,576.0,372.4,0.9404
16,5,18.0,390.4,594.0,697.8,576.0,307.4,0.9404
17,6,18.0,18.0,594.0,436.5,576.0,418.5,0.9404
18,6,18.0,436.5,594.0,725.4,576.0,288.9,0.9404
19,7,18.0,18.0,594.0,327.7,576.0,309.7,0.9404
20,7,18.0,327.7,594.0,492.4,576.0,164.8,0.9404
21,7,18.0,492.4,594.0,640.0,576.0,147.6,0.9404
22,8,18.0,18.0,497.5,380.6,479.5,362.6,0.7828
23,8,18.0,380.6,497.5,523.0,479.5,142.4,0.7828
24,8,18.0,523.0,497.5,774.0,479.5,251.0,0.7828
25,9,18.0,18.0,544.6,142.6,526.6,124.6,0.8597
26,9,18.0,142.6,544.6,482.2,526.6,339.6,0.8597
27,9,18.0,482.2,544.6,774.0,526.6,291.8,0.8597
28,10,18.0,18.0,538.9,256.8,520.9,238.8,0.8504
29,10,18.0,256.8,538.9,412.3,520.9,155.5,0.8504
30,10,18.0,412.3,538.9,774.0,520.9,361.7,0.8504
31,11,18.0,18.0,532.5,307.5,514.5,289.5,0.8400
32,11,18.0,307.5,532.5,774.0,514.5,466.5,0.8400
33,12,18.0,18.0,480.7,253.0,462.7,235.0,0.7554
34,12,18.0,253.0,480.7,588.7,462.7,335.8,0.7554
35,12,18.0,588.7,480.7,774.0,462.7,185.3,0.7554
36,13,18.0,18.0,594.0,472.1,576.0,454.1,0.9404
