block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
1,0,18.0,18.0,300.0,196.8,282.0,178.8,0.4083
2,0,18.0,196.8,300.0,375.2,282.0,178.4,0.4100
3,0,18.0,375.2,300.0,553.7,282.0,178.6,0.4105
4,0,18.0,553.7,300.0,732.9,282.0,179.2,0.4105
5,0,312.0,18.0,594.0,205.6,282.0,187.6,0.4060
6,0,312.0,205.6,594.0,384.4,282.0,178.8,0.4096
7,0,312.0,384.4,594.0,564.5,282.0,180.1,0.4056
8,0,312.0,564.5,594.0,744.4,282.0,180.0,0.4060
9,1,18.0,18.0,300.0,205.4,282.0,187.4,0.4069
10,1,18.0,205.4,300.0,383.7,282.0,178.3,0.4114
11,1,18.0,383.7,300.0,562.8,282.0,179.0,0.4123
12,1,18.0,562.8,300.0,741.9,282.0,179.2,0.4105
13,1,312.0,18.0,594.0,196.5,282.0,178.5,0.4118
14,1,312.0,196.5,594.0,375.3,282.0,178.7,0.4123
15,1,312.0,375.3,594.0,554.3,282.0,179.1,0.4109
16,1,312.0,554.3,594.0,732.3,282.0,177.9,0.4105
17,2,18.0,18.0,300.0,206.1,282.0,188.1,0.4065
18,2,18.0,206.1,300.0,384.8,282.0,178.7,0.4100
19,2,18.0,384.8,300.0,563.3,282.0,178.5,0.4096
20,2,18.0,563.3,300.0,742.2,282.0,178.9,0.4127
21,2,312.0,18.0,594.0,197.3,282.0,179.3,0.4114
22,2,312.0,197.3,594.0,375.8,282.0,178.6,0.4105
23,2,312.0,375.8,594.0,559.5,282.0,183.7,0.4096
24,2,312.0,559.5,594.0,746.7,282.0,187.2,0.4052
25,3,18.0,18.0,300.0,197.0,282.0,179.0,0.4087
26,3,18.0,197.0,300.0,376.2,282.0,179.1,0.4118
27,3,18.0,376.2,300.0,555.9,282.0,179.8,0.4105
28,3,18.0,555.9,300.0,743.8,282.0,187.9,0.4047
29,3,312.0,18.0,594.0,196.4,282.0,178.4,0.4100
30,3,312.0,196.4,594.0,375.5,282.0,179.2,0.4105
31,3,312.0,375.5,594.0,553.9,282.0,178.4,0.4100
32,3,312.0,553.9,594.0,732.6,282.0,178.7,0.4100
33,4,18.0,18.0,300.0,196.8,282.0,178.8,0.4109
34,4,18.0,196.8,300.0,375.5,282.0,178.7,0.4123
35,4,18.0,375.5,300.0,553.3,282.0,177.8,0.4123
36,4,18.0,553.3,300.0,731.8,282.0,178.5,0.4096
37,4,312.0,18.0,594.0,196.8,282.0,178.8,0.4118
38,4,312.0,196.8,594.0,375.2,282.0,178.3,0.4114
39,4,312.0,375.2,594.0,554.2,282.0,179.1,0.4109
40,4,312.0,554.2,594.0,733.2,282.0,178.9,0.4127
41,5,18.0,18.0,300.0,206.1,282.0,188.1,0.4065
42,5,18.0,206.1,300.0,385.1,282.0,179.0,0.4087
43,5,18.0,385.1,300.0,564.4,282.0,179.3,0.4100
44,5,18.0,564.4,300.0,750.9,282.0,186.5,0.4056
45,5,312.0,18.0,594.0,196.8,282.0,178.8,0.4096
46,5,312.0,196.8,594.0,375.9,282.0,179.1,0.4083
47,5,312.0,375.9,594.0,554.4,282.0,178.4,0.4109
48,5,312.0,554.4,594.0,742.5,282.0,188.1,0.4052
49,6,18.0,18.0,300.0,197.3,282.0,179.3,0.4100
50,6,18.0,197.3,300.0,376.2,282.0,178.9,0.4105
