block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
1,0,18.0,18.0,547.5,149.4,529.5,131.4,0.8645
2,0,18.0,149.4,547.5,511.3,529.5,361.9,0.8645
3,0,18.0,511.3,547.5,774.0,529.5,262.7,0.8645
4,1,18.0,18.0,561.6,433.7,543.6,415.7,0.8876
5,1,18.0,433.7,561.6,774.0,543.6,340.3,0.8876
6,2,18.0,18.0,548.4,259.1,530.4,241.1,0.8661
7,2,18.0,259.1,548.4,578.3,530.4,319.2,0.8661
8,2,18.0,578.3,548.4,774.0,530.4,195.7,0.8661
9,3,18.0,18.0,537.7,467.2,519.7,449.2,0.8485
10,3,18.0,467.2,537.7,608.0,519.7,140.9,0.8485
11,3,18.0,608.0,537.7,774.0,519.7,166.0,0.8485
12,4,18.0,18.0,438.9,160.9,420.9,142.9,0.6873
13,4,18.0,160.9,438.9,302.0,420.9,141.1,0.6873
14,4,18.0,302.0,438.9,495.8,420.9,193.8,0.6873
15,4,18.0,495.8,438.9,774.0,420.9,278.2,0.6873
16,5,18.0,18.0,440.0,249.5,422.0,231.5,0.6890
17,5,18.0,249.5,440.0,556.0,422.0,306.5,0.6890
18,5,18.0,556.0,440.0,774.0,422.0,218.0,0.6890
19,6,18.0,18.0,574.0,325.1,556.0,307.1,0.9078
20,6,18.0,325.1,574.0,490.3,556.0,165.2,0.9078
21,6,18.0,490.3,574.0,641.0,556.0,150.7,0.9078
22,7,18.0,18.0,477.8,390.2,459.8,372.2,0.7507
23,7,18.0,390.2,477.8,533.6,459.8,143.4,0.7507
24,7,18.0,533.6,477.8,774.0,459.8,240.4,0.7507
25,8,18.0,18.0,530.1,146.8,512.1,128.8,0.8361
26,8,18.0,146.8,530.1,482.6,512.1,335.8,0.8361
27,8,18.0,482.6,530.1,774.0,512.1,291.4,0.8361
28,9,18.0,18.0,498.8,263.9,480.8,245.9,0.7850
29,9,18.0,263.9,498.8,414.6,480.8,150.7,0.7850
30,9,18.0,414.6,498.8,774.0,480.8,359.4,0.7850
31,10,18.0,18.0,533.1,307.3,515.1,289.3,0.8410
32,10,18.0,307.3,533.1,774.0,515.1,466.7,0.8410
33,11,18.0,18.0,469.1,253.4,451.1,235.4,0.7365
34,11,18.0,253.4,469.1,587.1,451.1,333.7,0.7365
35,11,18.0,587.1,469.1,774.0,451.1,186.9,0.7365
36,12,18.0,18.0,574.0,458.8,556.0,440.8,0.9078
