block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
41,0,18.0,18.0,505.4,419.5,487.4,401.5,0.7959
1,0,18.0,419.5,505.4,544.8,487.4,125.3,0.7959
2,0,18.0,544.8,505.4,649.1,487.4,104.3,0.7959
3,0,18.0,649.1,505.4,774.0,487.4,124.9,0.7959
4,1,18.0,18.0,530.0,205.4,512.0,187.4,0.8360
5,1,18.0,205.4,530.0,444.2,512.0,238.8,0.8360
6,1,18.0,444.2,530.0,774.0,512.0,329.8,0.8360
7,2,18.0,18.0,514.0,203.0,496.0,185.0,0.8098
8,2,18.0,203.0,514.0,480.9,496.0,277.9,0.8098
9,2,18.0,480.9,514.0,642.2,496.0,161.3,0.8098
10,2,18.0,642.2,514.0,774.0,496.0,131.8,0.8098
11,3,18.0,18.0,495.8,189.1,477.8,171.1,0.7801
12,3,18.0,189.1,495.8,471.8,477.8,282.7,0.7801
13,3,18.0,471.8,495.8,774.0,477.8,302.2,0.7801
14,4,18.0,18.0,594.0,370.1,576.0,352.1,0.9404
15,4,18.0,370.1,594.0,682.9,576.0,312.8,0.9404
16,5,18.0,18.0,594.0,454.1,576.0,436.1,0.9404
17,5,18.0,454.1,594.0,687.0,576.0,232.9,0.9404
18,6,18.0,18.0,594.0,357.9,576.0,339.9,0.9404
19,6,18.0,357.9,594.0,768.2,576.0,410.3,0.9404
20,7,18.0,18.0,567.0,453.4,549.0,435.4,0.8964
21,7,18.0,453.4,567.0,774.0,549.0,320.6,0.8964
22,8,18.0,18.0,594.0,492.0,576.0,474.0,0.9404
23,8,18.0,492.0,594.0,654.5,576.0,162.5,0.9404
24,9,18.0,18.0,496.3,288.2,478.3,270.2,0.7809
25,9,18.0,288.2,496.3,450.5,478.3,162.3,0.7809
26,9,18.0,450.5,496.3,774.0,478.3,323.5,0.7809
27,10,18.0,18.0,556.9,341.5,538.9,323.5,0.8799
28,10,18.0,341.5,556.9,566.6,538.9,225.1,0.8799
29,10,18.0,566.6,556.9,774.0,538.9,207.4,0.8799
30,11,18.0,18.0,594.0,178.7,576.0,160.7,0.9404
31,11,18.0,178.7,594.0,418.9,576.0,240.2,0.9404
32,11,18.0,418.9,594.0,587.2,576.0,168.4,0.9404
33,11,18.0,587.2,594.0,712.3,576.0,125.0,0.9404
34,12,18.0,18.0,594.0,421.6,576.0,403.6,0.9404
