block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
1,0,18.0,18.0,594.0,384.2,576.0,366.2,0.8375
2,0,18.0,384.2,593.4,748.5,575.4,364.3,0.8375
3,1,18.0,18.0,590.9,381.6,572.9,363.6,0.8330
4,1,18.0,381.6,594.0,747.1,576.0,365.5,0.8330
5,2,18.0,18.0,590.9,379.5,572.9,361.5,0.8339
6,2,18.0,379.5,594.0,742.8,576.0,363.4,0.8339
7,3,18.0,18.0,592.7,394.1,574.7,376.1,0.8357
8,3,18.0,394.1,594.0,758.2,576.0,364.2,0.8357
9,4,18.0,18.0,594.0,385.3,576.0,367.3,0.8357
10,4,18.0,385.3,590.9,746.3,572.9,361.0,0.8357
11,5,18.0,18.0,592.7,384.2,574.7,366.2,0.8375
12,5,18.0,384.2,594.0,749.8,576.0,365.6,0.8375
13,6,18.0,18.0,594.0,384.0,576.0,366.0,0.8384
14,6,18.0,384.0,592.1,749.3,574.1,365.3,0.8384
15,7,18.0,18.0,594.0,381.7,576.0,363.7,0.8375
16,7,18.0,381.7,594.0,747.3,576.0,365.6,0.8375
17,8,18.0,18.0,594.0,383.3,576.0,365.3,0.8412
18,8,18.0,383.3,594.0,747.3,576.0,364.0,0.8412
19,9,18.0,18.0,594.0,398.5,576.0,380.5,0.8303
20,9,18.0,398.5,585.9,760.9,567.9,362.4,0.8303
21,10,18.0,18.0,594.0,383.4,576.0,365.4,0.8357
22,10,18.0,383.4,590.2,748.2,572.2,364.8,0.8357
23,11,18.0,18.0,591.5,381.1,573.5,363.1,0.8375
24,11,18.0,381.1,594.0,746.0,576.0,364.9,0.8375
25,12,18.0,18.0,594.0,399.9,576.0,381.9,0.8294
26,12,18.0,399.9,590.9,762.6,572.9,362.6,0.8294
27,13,18.0,18.0,592.1,381.3,574.1,363.3,0.8366
28,13,18.0,381.3,594.0,747.1,576.0,365.8,0.8366
29,14,18.0,18.0,593.4,382.9,575.4,364.9,0.8375
30,14,18.0,382.9,594.0,747.3,576.0,364.3,0.8375
31,15,18.0,18.0,592.7,382.3,574.7,364.3,0.8375
32,15,18.0,382.3,594.0,764.2,576.0,381.9,0.8375
33,16,18.0,18.0,594.0,384.4,576.0,366.4,0.8366
34,16,18.0,384.4,587.7,746.5,569.7,362.0,0.8366
35,17,18.0,18.0,587.7,378.0,569.7,360.0,0.8348
36,17,18.0,378.0,594.0,743.6,576.0,365.6,0.8348
37,18,18.0,18.0,592.7,382.5,574.7,364.5,0.8366
38,18,18.0,382.5,594.0,747.1,576.0,364.5,0.8366
39,19,18.0,18.0,594.0,383.7,576.0,365.7,0.8393
40,19,18.0,383.7,594.0,750.6,576.0,366.9,0.8348
