block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
1,0,18.0,18.0,594.0,383.8,576.0,365.8,0.8366
2,0,18.0,383.8,592.7,749.6,574.7,365.8,0.8366
3,1,18.0,18.0,594.0,383.7,576.0,365.7,0.8393
4,1,18.0,383.7,594.0,750.1,576.0,366.4,0.8393
5,2,18.0,18.0,594.0,384.4,576.0,366.4,0.8366
6,2,18.0,384.4,592.1,749.6,574.1,365.2,0.8366
7,3,18.0,18.0,594.0,383.2,576.0,365.2,0.8366
8,3,18.0,383.2,592.7,750.9,574.7,367.7,0.8366
9,4,18.0,18.0,592.7,386.1,574.7,368.1,0.8348
10,4,18.0,386.1,594.0,751.1,576.0,365.0,0.8348
11,5,18.0,18.0,594.0,382.9,576.0,364.9,0.8375
12,5,18.0,382.9,593.4,747.9,575.4,364.9,0.8375
13,6,18.0,18.0,594.0,385.7,576.0,367.7,0.8366
14,6,18.0,385.7,592.1,750.9,574.1,365.2,0.8366
15,7,18.0,18.0,594.0,382.9,576.0,364.9,0.8375
16,7,18.0,382.9,592.7,749.1,574.7,366.2,0.8375
17,8,18.0,18.0,589.6,381.4,571.6,363.4,0.8339
18,8,18.0,381.4,594.0,746.6,576.0,365.2,0.8339
19,9,18.0,18.0,592.1,382.8,574.1,364.8,0.8330
20,9,18.0,382.8,594.0,746.4,576.0,363.6,0.8330
21,10,18.0,18.0,594.0,383.8,576.0,365.8,0.8366
22,10,18.0,383.8,590.9,748.4,572.9,364.5,0.8366
23,11,18.0,18.0,592.7,382.2,574.7,364.2,0.8357
24,11,18.0,382.2,594.0,747.6,576.0,365.4,0.8357
25,12,18.0,18.0,594.0,381.7,576.0,363.7,0.8375
26,12,18.0,381.7,594.0,747.3,576.0,365.6,0.8375
27,13,18.0,18.0,589.6,381.0,571.6,363.0,0.8303
28,13,18.0,381.0,594.0,744.1,576.0,363.0,0.8303
29,14,18.0,18.0,590.9,381.4,572.9,363.4,0.8339
30,14,18.0,381.4,594.0,746.0,576.0,364.6,0.8339
31,15,18.0,18.0,594.0,383.4,576.0,365.4,0.8357
32,15,18.0,383.4,594.0,746.9,576.0,363.5,0.8357
33,16,18.0,18.0,592.7,381.2,574.7,363.2,0.8393
34,16,18.0,381.2,594.0,745.7,576.0,364.5,0.8393
35,17,18.0,18.0,592.7,384.4,574.7,366.4,0.8366
36,17,18.0,384.4,594.0,750.2,576.0,365.8,0.8366
37,18,18.0,18.0,594.0,385.3,576.0,367.3,0.8357
38,18,18.0,385.3,590.9,746.9,572.9,361.6,0.8357
39,19,18.0,18.0,594.0,389.5,576.0,371.5,0.8366
40,19,18.0,389.5,593.4,752.7,575.4,363.3,0.8366
41,20,18.0,18.0,594.0,381.6,576.0,363.6,0.8403
42,20,18.0,381.6,594.0,745.9,576.0,364.3,0.8403
43,21,18.0,18.0,590.9,379.6,572.9,361.6,0.8357
44,21,18.0,379.6,594.0,743.8,576.0,364.2,0.8357
45,22,18.0,18.0,588.4,380.7,570.4,362.7,0.8339
46,22,18.0,380.7,594.0,745.3,576.0,364.6,0.8339
47,23,18.0,18.0,594.0,382.5,576.0,364.5,0.8393
48,23,18.0,382.5,591.5,747.0,573.5,364.5,0.8393
49,24,18.0,18.0,594.0,382.1,576.0,364.1,0.8384
50,24,18.0,382.1,594.0,746.2,576.0,364.1,0.8384
