block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
1,0,18.0,18.0,594.0,383.2,576.0,365.2,0.8339
2,0,18.0,383.2,591.5,746.0,573.5,362.7,0.8339
3,1,18.0,18.0,594.0,382.7,576.0,364.7,0.8384
4,1,18.0,382.7,594.0,748.7,576.0,366.0,0.8384
5,2,18.0,18.0,594.0,401.2,576.0,383.2,0.8294
6,2,18.0,401.2,589.0,763.2,571.0,362.0,0.8294
7,3,18.0,18.0,594.0,385.8,576.0,367.8,0.8285
8,3,18.0,385.8,593.4,753.1,575.4,367.2,0.8285
9,4,18.0,18.0,594.0,400.8,576.0,382.8,0.8312
10,4,18.0,400.8,587.8,761.1,569.8,360.3,0.8312
11,5,18.0,18.0,591.5,382.1,573.5,364.1,0.8384
12,5,18.0,382.1,594.0,748.1,576.0,366.0,0.8384
13,6,18.0,18.0,594.0,382.7,576.0,364.7,0.8412
14,6,18.0,382.7,593.4,747.3,575.4,364.7,0.8412
15,7,18.0,18.0,593.4,383.3,575.4,365.3,0.8384
16,7,18.0,383.3,594.0,746.8,576.0,363.5,0.8384
17,8,18.0,18.0,594.0,402.2,576.0,384.2,0.8303
18,8,18.0,402.2,589.0,764.0,571.0,361.8,0.8303
19,9,18.0,18.0,594.0,382.5,576.0,364.5,0.8366
20,9,18.0,382.5,589.6,745.2,571.6,362.7,0.8366
21,10,18.0,18.0,592.7,383.3,574.7,365.3,0.8384
22,10,18.0,383.3,594.0,748.1,576.0,364.7,0.8384
23,11,18.0,18.0,587.8,389.2,569.8,371.2,0.8276
24,11,18.0,389.2,594.0,771.5,576.0,382.3,0.8276
25,12,18.0,18.0,594.0,383.6,576.0,365.6,0.8348
26,12,18.0,383.6,589.6,746.8,571.6,363.1,0.8348
27,13,18.0,18.0,585.9,380.1,567.9,362.1,0.8267
28,13,18.0,380.1,594.0,763.9,576.0,383.8,0.8267
29,14,18.0,18.0,594.0,382.3,576.0,364.3,0.8375
30,14,18.0,382.3,593.4,747.9,575.4,365.6,0.8375
31,15,18.0,18.0,594.0,382.3,576.0,364.3,0.8375
32,15,18.0,382.3,594.0,747.3,576.0,364.9,0.8375
33,16,18.0,18.0,594.0,383.1,576.0,365.1,0.8393
34,16,18.0,383.1,592.1,747.0,574.1,363.9,0.8393
35,17,18.0,18.0,590.2,378.8,572.2,360.8,0.8366
36,17,18.0,378.8,594.0,743.3,576.0,364.5,0.8366
37,18,18.0,18.0,593.4,382.9,575.4,364.9,0.8403
38,18,18.0,382.9,594.0,747.1,576.0,364.3,0.8403
39,19,18.0,18.0,594.0,383.7,576.0,365.7,0.8393
40,19,18.0,383.7,591.5,747.6,573.5,363.9,0.8393
41,20,18.0,18.0,594.0,402.2,576.0,384.2,0.8303
42,20,18.0,402.2,590.9,765.9,572.9,363.7,0.8303
43,21,18.0,18.0,587.8,380.3,569.8,362.3,0.8285
44,21,18.0,380.3,594.0,761.1,576.0,380.9,0.8285
45,22,18.0,18.0,592.1,382.0,574.1,364.0,0.8339
46,22,18.0,382.0,594.0,747.9,576.0,365.9,0.8339
47,23,18.0,18.0,585.9,377.4,567.9,359.4,0.8276
48,23,18.0,377.4,594.0,761.6,576.0,384.2,0.8276
49,24,18.0,18.0,594.0,384.2,576.0,366.2,0.8375
50,24,18.0,384.2,594.0,749.5,576.0,365.3,0.8384
