block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
41,0,18.0,18.0,589.7,488.4,571.7,470.4,0.9334
1,0,18.0,488.4,589.7,643.3,571.7,155.0,0.9334
2,0,18.0,643.3,589.7,774.0,571.7,130.7,0.9334
3,1,18.0,18.0,594.0,174.1,576.0,156.1,0.9404
4,1,18.0,174.1,594.0,391.8,576.0,217.6,0.9404
5,1,18.0,391.8,594.0,661.7,576.0,269.9,0.9404
6,2,18.0,18.0,594.0,395.1,576.0,377.1,0.9404
7,2,18.0,395.1,594.0,640.4,576.0,245.3,0.9404
8,3,18.0,18.0,504.4,297.8,486.4,279.8,0.7941
9,3,18.0,297.8,504.4,463.1,486.4,165.3,0.7941
10,3,18.0,463.1,504.4,592.1,486.4,129.1,0.7941
11,3,18.0,592.1,504.4,774.0,486.4,181.9,0.7941
12,4,18.0,18.0,594.0,365.5,576.0,347.5,0.9404
13,4,18.0,365.5,594.0,736.7,576.0,371.2,0.9404
14,5,18.0,18.0,594.0,369.6,576.0,351.6,0.9404
15,5,18.0,369.6,594.0,712.8,576.0,343.2,0.9404
16,6,18.0,18.0,594.0,460.9,576.0,442.9,0.9404
17,6,18.0,460.9,594.0,699.9,576.0,239.0,0.9404
18,7,18.0,18.0,590.0,358.0,572.0,340.0,0.9339
19,7,18.0,358.0,590.0,774.0,572.0,416.0,0.9339
20,8,18.0,18.0,554.7,452.9,536.7,434.9,0.8763
21,8,18.0,452.9,554.7,774.0,536.7,321.1,0.8763
22,9,18.0,18.0,594.0,494.5,576.0,476.5,0.9404
23,9,18.0,494.5,594.0,663.8,576.0,169.3,0.9404
24,10,18.0,18.0,594.0,346.1,576.0,328.1,0.9404
25,10,18.0,346.1,594.0,548.3,576.0,202.2,0.9404
26,11,18.0,18.0,580.2,428.1,562.2,410.1,0.9180
27,11,18.0,428.1,580.2,774.0,562.2,345.9,0.9180
28,12,18.0,18.0,510.4,223.5,492.4,205.5,0.8040
29,12,18.0,223.5,510.4,418.5,492.4,195.0,0.8040
30,12,18.0,418.5,510.4,563.3,492.4,144.7,0.8040
31,12,18.0,563.3,510.4,774.0,492.4,210.7,0.8040
32,13,18.0,18.0,594.0,187.4,576.0,169.4,0.9404
33,13,18.0,187.4,594.0,319.1,576.0,131.7,0.9404
34,13,18.0,319.1,594.0,722.2,576.0,403.1,0.9404
